,id,first,last,,state,party
219,K000378,Adam,Kinzinger,,IL,Republican
220,K000368,Ann,Kirkpatrick,,AZ,Democrat
221,K000391,S.,Krishnamoorthi,,IL,Democrat
222,K000382,Ann,Kuster,,NH,Democrat
223,K000392,David,Kustoff,,TN,Republican
224,L000585,Darin,Lahood,,IL,Republican
225,L000578,Doug,Lamalfa,,CA,Republican
226,L000588,Conor,Lamb,,PA,Democrat
227,L000564,Doug,Lamborn,,CO,Republican
228,L000559,James,Langevin,,RI,Democrat
229,L000560,Richard,Larsen,,WA,Democrat
230,L000557,John,Larson,,CT,Democrat
231,L000566,Robert,Latta,,OH,Republican
232,L000581,Brenda,Lawrence,,MI,Democrat
233,L000586,Alfred,Lawson,,FL,Democrat
234,L000551,Barbara,Lee,,CA,Democrat
235,L000590,Susie,Lee,,NV,Democrat
236,L000589,Debbie,Lesko,,AZ,Republican
237,L000592,Andy,Levin,,MI,Democrat
238,L000593,Mike,Levin,,CA,Democrat
239,L000287,John,Lewis,,GA,Democrat
240,L000582,Ted,Lieu,,CA,Democrat
241,L000563,Daniel,Lipinski,,IL,Democrat
242,L000565,Dave,Loebsack,,IA,Democrat
243,L000397,Zoe,Lofgren,,CA,Democrat
244,L000576,Billy,Long,,MO,Republican
245,L000583,Barry,Loudermilk,,GA,Republican
246,L000579,Alan,Lowenthal,,CA,Democrat
247,L000480,Nita,Lowey,,NY,Democrat
248,L000491,Frank,Lucas,,OK,Republican
249,L000569,Blaine,Luetkemeyer,,MO,Republican
250,L000570,Ben,Luján,,NM,Democrat
251,L000591,Elaine,Luria,,VA,Democrat
252,L000562,Stephen,Lynch,,MA,Democrat
253,M001203,Tom,Malinowski,,NJ,Democrat
254,M000087,Carolyn,Maloney,,NY,Democrat
255,M001185,Sean,Maloney,,NY,Democrat
256,M001158,Kenny,Marchant,,TX,Republican
257,M001179,Thomas,Marino,,PA,Republican
258,M001198,Roger,Marshall,,KS,Republican
259,M001184,Thomas,Massie,,KY,Republican
260,M001199,Brian,Mast,,FL,Republican
261,M001163,Doris,Matsui,,CA,Democrat
262,M001165,Kevin,McCarthy,,CA,Republican
263,M001157,Michael,McCaul,,TX,Republican
264,M001177,Tom,McClintock,,CA,Republican
265,M001143,Betty,McCollum,,MN,Democrat
266,M000312,James,McGovern,,MA,Democrat
267,M001156,Patrick,McHenry,,NC,Republican
268,M001180,David,McKinley,,WV,Republican
269,M001159,Cathy,McMorris Rodgers,,WA,Republican
270,M001166,Jerry,McNerney,,CA,Democrat
271,M001209,Ben,Mcadams,,UT,Democrat
272,M001208,Lucy,Mcbath,,GA,Democrat
273,M001200,Aston,Mceachin,,VA,Democrat
274,M001187,Mark,Meadows,,NC,Republican
275,M001137,Gregory,Meeks,,NY,Democrat
276,M001188,Grace,Meng,,NY,Democrat
277,M001204,Dan,Meuser,,PA,Republican
278,M000687,Kweisi,Mfume,,MD,Democrat
279,M001205,Carol,Miller,,WV,Republican
280,M001201,Paul,Mitchell,,MI,"Republican, Independent"
281,M001194,John,Moolenaar,,MI,Republican
282,M001195,Alex,Mooney,,WV,Republican
283,M001160,Gwendolynne,Moore,,WI,Democrat
284,M001206,Joseph,Morelle,,NY,Democrat
285,M001196,Seth,Moulton,,MA,Democrat
286,M001207,Debbie,Mucarsel-Powell,,FL,Democrat
287,M001190,Markwayne,Mullin,,OK,Republican
288,M001210,Gregory,Murphy,,NC,Republican
289,M001202,Stephanie,Murphy,,FL,Democrat
290,N000002,Jerrold,Nadler,,NY,Democrat
291,N000179,Grace,Napolitano,,CA,Democrat
292,N000015,Richard,Neal,,MA,Democrat
293,N000191,Joseph,Neguse,,CO,Democrat
294,N000189,Daniel,Newhouse,,WA,Republican
295,N000188,Donald,Norcross,,NJ,Democrat
296,N000190,Ralph,Norman,,SC,Republican
297,N000181,Devin,Nunes,,CA,Republican
298,O000171,Thomas,O'halleran,,AZ,Democrat
299,O000172,Alexandria,Ocasio-Cortez,,NY,Democrat
300,O000168,Pete,Olson,,TX,Republican
301,O000173,Ilhan,Omar,,MN,Democrat
302,P000601,Steven,Palazzo,,MS,Republican
303,P000034,Frank,Pallone,,NJ,Democrat
304,P000609,Gary,Palmer,,AL,Republican
305,P000613,James,Panetta,,CA,Democrat
306,P000614,Chris,Pappas,,NH,Democrat
307,P000096,William,Pascrell,,NJ,Democrat
308,P000604,Donald,Payne,,NJ,Democrat
309,P000197,Nancy,Pelosi,,CA,Democrat
310,P000615,Gregory,Pence,,IN,Republican
311,P000593,Ed,Perlmutter,,CO,Democrat
312,P000605,Scott,Perry,,PA,Republican
313,P000608,Scott,Peters,,CA,Democrat
314,P000258,Collin,Peterson,,MN,Democrat
315,P000616,Dean,Phillips,,MN,Democrat
316,P000597,Chellie,Pingree,,ME,Democrat
317,P000607,Mark,Pocan,,WI,Democrat
318,P000618,Katie,Porter,,CA,Democrat
319,P000599,Bill,Posey,,FL,Republican
320,P000617,Ayanna,Pressley,,MA,Democrat
321,P000523,David,Price,,NC,Democrat
322,Q000023,Mike,Quigley,,IL,Democrat
323,R000606,Jamie,Raskin,,MD,Democrat
324,R000601,John,Ratcliffe,,TX,Republican
325,R000585,Thomas,Reed,,NY,Republican
326,R000610,Guy,Reschenthaler,,PA,Republican
327,R000602,Kathleen,Rice,,NY,Democrat
328,R000597,Tom,Rice,,SC,Republican
329,R000588,Cedric,Richmond,,LA,Democrat
330,R000611,Denver,Riggleman,,VA,Republican
331,R000591,Martha,Roby,,AL,Republican
332,R000582,David,Roe,,TN,Republican
333,R000395,Harold,Rogers,,KY,Republican
334,R000575,Michael,Rogers,,AL,Republican
335,R000607,Francis,Rooney,,FL,Republican
336,R000612,John,Rose,,TN,Republican
337,R000613,Max,Rose,,NY,Democrat
338,R000616,Harley,Rouda,,CA,Democrat
339,R000603,David,Rouzer,,NC,Republican
340,R000614,Charles,Roy,,TX,Republican
341,R000486,Lucille,Roybal-Allard,,CA,Democrat
342,R000599,Raul,Ruiz,,CA,Democrat
343,R000576,C. A.,Ruppersberger,,MD,Democrat
344,R000515,Bobby,Rush,,IL,Democrat
345,R000609,John,Rutherford,,FL,Republican
346,R000577,Timothy,Ryan,,OH,Democrat
347,S001168,John,Sarbanes,,MD,Democrat
348,S001176,Steve,Scalise,,LA,Republican
349,S001205,Mary,Scanlon,,PA,Democrat
350,S001145,Janice,Schakowsky,,IL,Democrat
351,S001150,Adam,Schiff,,CA,Democrat
352,S001190,Brad,Schneider,,IL,Democrat
353,S001180,Kurt,Schrader,,OR,Democrat
354,S001216,Kim,Schrier,,WA,Democrat
355,S001183,David,Schweikert,,AZ,Republican
356,S000185,Robert,Scott,,VA,Democrat
357,S001189,Austin,Scott,,GA,Republican
358,S001157,David,Scott,,GA,Democrat
359,S000244,Frank,Sensenbrenner,,WI,Republican
360,S000248,José,Serrano,,NY,Democrat
361,S001185,Terri,Sewell,,AL,Democrat
362,S001206,Donna,Shalala,,FL,Democrat
363,S000344,Brad,Sherman,,CA,Democrat
364,S001207,Mikie,Sherrill,,NJ,Democrat
365,S000364,John,Shimkus,,IL,Republican
366,S001148,Michael,Simpson,,ID,Republican
367,S001165,Albio,Sires,,NJ,Democrat
368,S001208,Elissa,Slotkin,,MI,Democrat
369,S000522,Christopher,Smith,,NJ,Republican
370,S000510,Adam,Smith,,WA,Democrat
371,S001172,Adrian,Smith,,NE,Republican
372,S001195,Jason,Smith,,MO,Republican
373,S001199,Lloyd,Smucker,,PA,Republican
374,S001200,Darren,Soto,,FL,Democrat
375,S001209,Abigail,Spanberger,,VA,Democrat
376,S001210,Ross,Spano,,FL,Republican
377,S001175,Karen,Speier,,CA,Democrat
378,S001211,Greg,Stanton,,AZ,Democrat
379,S001212,Peter,Stauber,,MN,Republican
380,S001196,Elise,Stefanik,,NY,Republican
381,S001213,Bryan,Steil,,WI,Republican
382,S001214,William,Steube,,FL,Republican
383,S001215,Haley,Stevens,,MI,Democrat
384,S001192,Chris,Stewart,,UT,Republican
385,S001187,Steve,Stivers,,OH,Republican
386,S001201,Thomas,Suozzi,,NY,Democrat
387,S001193,Eric,Swalwell,,CA,Democrat
388,S001156,Linda,Sánchez,,CA,Democrat
389,T000165,Thomas,TIFFANY,,WI,Republican
390,T000472,Mark,Takano,,CA,Democrat
391,T000479,Van,Taylor,,TX,Republican
392,T000193,Bennie,Thompson,,MS,Democrat
393,T000467,Glenn,Thompson,,PA,Republican
394,T000460,Michael,Thompson,,CA,Democrat
395,T000238,William,Thornberry,,TX,Republican
396,T000480,William,Timmons,,SC,Republican
397,T000470,Scott,Tipton,,CO,Republican
398,T000468,Alice,Titus,,NV,Democrat
399,T000481,Rashida,Tlaib,,MI,Democrat
400,T000469,Paul,Tonko,,NY,Democrat
401,T000474,Norma,Torres,,CA,Democrat
402,T000484,Xochitl,Torres Small,,NM,Democrat
403,T000482,Lori,Trahan,,MA,Democrat
404,T000483,David,Trone,,MD,Democrat
405,T000463,Michael,Turner,,OH,Republican
406,U000040,Lauren,Underwood,,IL,Democrat
407,U000031,Frederick,Upton,,MI,Republican
408,V000133,Jefferson,Van Drew,,NJ,"Democrat, Republican"
409,V000130,Juan,Vargas,,CA,Democrat
410,V000131,Marc,Veasey,,TX,Democrat
411,V000132,Filemon,Vela,,TX,Democrat
412,V000081,Nydia,Velázquez,,NY,Democrat
413,V000108,Peter,Visclosky,,IN,Democrat
414,W000812,Ann,Wagner,,MO,Republican
415,W000798,Tim,Walberg,,MI,Republican
416,W000791,Greg,Walden,,OR,Republican
417,W000819,Bradley,Walker,,NC,Republican
418,W000813,Jackie,Walorski,,IN,Republican
419,W000823,Michael,Waltz,,FL,Republican
420,W000797,Debbie,Wasserman Schultz,,FL,Democrat
421,W000187,Maxine,Waters,,CA,Democrat
422,W000824,Steve,Watkins,,KS,Republican
423,W000822,Bonnie,Watson Coleman,,NJ,Democrat
424,W000814,Randy,Weber,,TX,Republican
425,W000806,Daniel,Webster,,FL,Republican
426,W000800,Peter,Welch,,VT,Democrat
427,W000815,Brad,Wenstrup,,OH,Republican
428,W000821,Bruce,Westerman,,AR,Republican
429,W000825,Jennifer,Wexton,,VA,Democrat
430,W000826,Susan,Wild,,PA,Democrat
431,W000816,Roger,Williams,,TX,Republican
432,W000795,Addison,Wilson,,SC,Republican
433,W000808,Frederica,Wilson,,FL,Democrat
434,W000804,Robert,Wittman,,VA,Republican
435,W000809,Steve,Womack,,AR,Republican
436,W000810,Rob,Woodall,,GA,Republican
437,W000827,Ron,Wright,,TX,Republican
438,Y000062,John,Yarmuth,,KY,Democrat
439,Y000065,Ted,Yoho,,FL,Republican
440,Y000033,Donald,Young,,AK,Republican
441,Z000017,Lee,Zeldin,,NY,Republican
